,text,gpt_out
147,"Looks like a waiter holding a dish and towel facing the left So dimond triangle rectangle and triangle for the body, upside down triangle and square for the arm","['waiter holding a dish and towel facing the left', 'dimond triangle rectangle and triangle for the body', 'upside down triangle and square for the arm']"
148,"A person in a squat position praying to the right, top down is diamond triangle square (with triangle arms) then two parallelograms for the legs, almost looks like the guy is skiing with his knees bent","['A person in a squat position praying to the right', 'top down is diamond triangle square (with triangle arms)', 'two parallelograms for the legs', 'almost looks like the guy is skiing with his knees bent']"
149,"Relaxing bunny looking to the left, with a parallelogram leg and a triangle arm sticking out behind him on the right, got a long rectangle neck and a small triangle head","['Relaxing bunny looking to the left', 'with a parallelogram leg', 'and a triangle arm sticking out behind him on the right', 'got a long rectangle neck', 'and a small triangle head']"
150,"Horse head figure with wings doing a kung fu kick, head faces the left and foot is raised up, long rectangle body, yea so to the right of the head is a square, Head looks down and to the left Legs are rectangles with triangles on the bottom, The one with one straight leg and one raised to the left","['Horse head figure with wings doing a kung fu kick', 'head faces the left and foot is raised up', 'long rectangle body', 'to the right of the head is a square', 'Head looks down and to the left', 'Legs are rectangles with triangles on the bottom', 'The one with one straight leg and one raised to the left']"
151,"The ice skating figure that was the wrong answer last time, so diamond head, two triangle arms and a straight leg","['diamond head', 'two triangle arms', 'a straight leg']"
152,"praying lady kneeling down looking to the right, diamond triangle unsidwon triangle parallelogram and right triangle foot bent back","['praying lady kneeling down looking to the right', 'diamond triangle', 'unsidwon triangle', 'parallelogram', 'right triangle', 'foot bent back']"
153,"The sitting bunny against a wall, two triangle ears and a square face, triangle body and legs","['The sitting bunny against a wall', 'two triangle ears and a square face', 'triangle body and legs']"
154,"Looks like a candle or bundled up person dimond, upside down triangle with a thick square body and a tiny triangle base, So like under the dimond is a long flat bit that looks like a shelf or something","['a candle or bundled up person dimond', 'upside down triangle with a thick square body and a tiny triangle base', 'under the dimond is a long flat bit that looks like a shelf or something']"
155,"Resting man sitting down with legs outstretched, head is a diamond, then a triangle thick body, legs are a triangle rectangle triangle, facing left yes, head looks a bit like a square but at a slight angle","['Resting man sitting down with legs outstretched', 'head is a diamond', 'triangle thick body', 'legs are a triangle rectangle triangle', 'facing left', 'head looks a bit like a square but at a slight angle']"
156,"Diamond head with thick body and little triangle pointing left for feet, thick, yeah sitting down with no arms","['Diamond head with thick body and little triangle pointing left for feet', 'thick', 'sitting down with no arms']"
157,the mouse description from earlier,There is no description of an image provided in the given text.
158,"the horse, yeah looks like a horse with a square on its head",['a horse with a square on its head']
159,Diamond on the shelf,['Diamond on the shelf']
160,man sitting against a wall with legs stretched facing left,['man sitting against a wall with legs stretched facing left']
161,Figure skater doing a move with leg behind them,['Figure skater doing a move with leg behind them']
162,stomping zombie,['stomping zombie']
163,flying superman with diamond head,['flying superman with diamond head']
164,"the skier, looks like legs are bent and skiing","['the skier, looks like legs are bent and skiing']"
165,easter bunny sitting against a wall facing right,['easter bunny sitting against a wall facing right']
166,waiter holding a plate and a towel facing left,['waiter holding a plate and a towel facing left']
167,person praying on knees facing right,['person praying on knees facing right']
168,"Left ear is square, right ear is a triangle Small triangular face facing left, Sitting down, Long neck","['Left ear is square', 'right ear is a triangle', 'Small triangular face facing left', 'Sitting down', 'Long neck']"
169,"Square head Has two legs Is standing up, facing left, as if they are ice skating (NOT the skiing one), Square diamond head","['Square head', 'Has two legs', 'Is standing up, facing left, as if they are ice skating', 'Square diamond head']"
170,"Bunny ears and looks like they are sitting against a wall Facing right, square head slightly downwards, Big triangle for a body","['Bunny ears and looks like they are sitting against a wall', 'Facing right, square head slightly downwards', 'Big triangle for a body']"
171,"Square diamond head The 'woman' from earlier Triangle sticking out on the right, Yes it looks a pair of arms in prayer, but it's not the ski one Left side is a triangle pointing up","['Square diamond head', ""'woman' from earlier"", 'Triangle sticking out on the right', 'a pair of arms in prayer', ""it's not the ski one"", 'Left side is a triangle pointing up']"
172,Like a waiter in a restaurant travelling to his left Towel over his arm and a square head,"['Like a waiter in a restaurant travelling to his left', 'Towel over his arm', 'a square head']"
173,"A silly man who obviously thinks he can fly Squad head and outstretched arms, like a bird","['A silly man who obviously thinks he can fly', 'Squad head and outstretched arms, like a bird']"
174,"The image has a square top right Head is facing downwards to the left with one leg slightly raised in the air, NA, slightly raised I meant, The feet are facing left","['a square top right', 'Head is facing downwards to the left with one leg slightly raised in the air', 'The feet are facing left']"
175,The one with the fattest body and an arm outstretched to the right Diamond head Earlier descriptions was of a candle or a diamond on a shelf,"['The one with the fattest body and an arm outstretched to the right', 'Diamond head']"
176,"Square diamond head, with a triangle sticking out in the middle to the right Reminds us of a person skiing","['Square diamond head, with a triangle sticking out in the middle to the right', 'Reminds us of a person skiing']"
177,"This one has no arms and no real legs Square top, triangle neck, square body, Bottom part is sticking out on the right","['no arms and no real legs', 'Square top', 'triangle neck', 'square body', 'Bottom part is sticking out on the right']"
178,A dog mouse with a square left ear Other ear is a triangle Facing left,"['A dog mouse with a square left ear', 'Other ear is a triangle', 'Facing left']"
179,Square headed guy sitting down Big body Legs are slightly bent And he's looking to the left,"['Square headed guy sitting down', 'Big body', 'Legs are slightly bent', ""And he's looking to the left""]"
180,flying guy with outstretched arms,['flying guy with outstretched arms']
181,skiing guy with bent knees to the right,['skiing guy with bent knees to the right']
182,sitting square head guy with big body and long legs to the left,['sitting square head guy with big body and long legs to the left']
183,stomping zombie,['stomping zombie']
184,waiter with a towel over his arm,['waiter with a towel over his arm']
185,"mouse with big head square left ear facing left, big triangle head, one ear is square one is triangle, no neck","['mouse with big head square left ear facing left', 'big triangle head', 'one ear is square one is triangle', 'no neck']"
186,"praying woman kneeling down, looking right","['praying woman kneeling down, looking right']"
187,"sitting bunny, triangle ears facing right","['sitting bunny', 'triangle ears facing right']"
188,ice skater with outstretched back leg moving left,['ice skater with outstretched back leg moving left']
189,"long neck figure with square and triangle ear, and thin body sitting down, small triangle face looking left","['long neck figure with square and triangle ear', 'thin body sitting down', 'small triangle face looking left']"
190,no arms or legs guy,['no arms or legs guy']
191,diamond on a shelf candle,['diamond on a shelf candle']
192,no arms or legs guy,['no arms or legs guy']
193,sitting easter bunny,['sitting easter bunny']
194,man sitting with long legs stretching to the left,['man sitting with long legs stretching to the left']
195,waiter with plate and towel,['waiter with plate and towel']
196,"the crazy mess of shapes none of us have come up with a good description for, yeah, long neck","['the crazy mess of shapes', 'long neck']"
197,flying man,['flying man']
198,ice skater,['ice skater']
199,skiing person,['skiing person']
200,pointy mouse ears,['pointy mouse ears']
201,person on knees praying,['person on knees praying']
202,stomping zombie,['stomping zombie']
203,diamond on a shelf candle,['diamond on a shelf candle']
204,A fool who thinks he can fly,['A fool who thinks he can fly']
205,"Sitting down Facing left Legs slightly bent, And a square head","['Sitting down', 'Facing left', 'Legs slightly bent', 'And a square head']"
206,"A mouse with a square ear on the left, triangular one on the right","['A mouse with a square ear on the left, triangular one on the right']"
207,Someone skiing,['Someone skiing']
208,The waiter and his towel,['The waiter and his towel']
209,"Square ear on the left Sitting down facing left, with a LONG NECK and small pointy triangle face","['Square ear on the left', 'Sitting down facing left, with a LONG NECK and small pointy triangle face']"
210,A person with triangles for his body ice skating,['A person with triangles for his body ice skating']
211,"Two triangular bunny ears Sitting back to a wall, facing right","['Two triangular bunny ears', 'Sitting back to a wall, facing right']"
212,A candle doing a salute Or a diamond on a shelf,"['A candle doing a salute', 'Or a diamond on a shelf']"
213,"Square on the top right I know him as horse head, but you two call him stomping zombie","['Square on the top right', 'horse head', 'stomping zombie']"
214,No arms No legs Square head,"['No arms', 'No legs', 'Square head']"
215,"A woman who appears to be praying Triangle sticking out on the right, Good work all","['A woman who appears to be praying', 'Triangle sticking out on the right', 'Good work all']"
216,"a person with their leg up and arms raised, their head is back","['a person with their leg up and arms raised, their head is back']"
217,"a person sitting facing the right, with a hat on","['a person sitting facing the right, with a hat on']"
218,"sitting down, arms out at each side and head slightly back, body straight","['sitting down', 'arms out at each side', 'head slightly back', 'body straight']"
219,"sitting facing left side, head down, toes raised off floor, heels on floor, looking sad maybe","['sitting facing left side', 'head down', 'toes raised off floor', 'heels on floor', 'looking sad maybe']"
220,"arms out at each side, parallel, body looks rectangular, head straight, the widest body shape, looks square, no legs, very square looking body","['arms out at each side, parallel', 'body looks rectangular', 'head straight', 'the widest body shape', 'looks square', 'no legs', 'very square looking body']"
221,"holding what looks like a tray in front of them, its a view from the side of the person, straight legs","['holding what looks like a tray in front of them', 'a view from the side of the person', 'straight legs']"
222,"cannot see their legs, rectangle body, feet facing the right hand side as we look at the pic, sitting upright, possibly kneeling, their body is upright, but kneeling, cannot see arms","['rectangle body', 'feet facing the right hand side as we look at the pic', 'sitting upright', 'possibly kneeling', 'their body is upright, but kneeling', 'cannot see arms']"
223,"sitting on a chair, facing the right, holding arms out in front, legs under the knee are behind them, an imaginary chair, that is!","['sitting on a chair, facing the right, holding arms out in front, legs under the knee are behind them, an imaginary chair']"
224,"arms out at the side, looks very happy, joyous, no legs, arms raised upwards, leaning more backwards, yes, arms up high","['arms out at the side', 'looks very happy, joyous', 'no legs', 'arms raised upwards', 'leaning more backwards', 'arms up high']"
225,"kneeling down, facing the side, arms out in from of them like they are holding a trayheyto, body upright, looks like they are resting on balls of feet, whilst kneeling","['kneeling down, facing the side, arms out in from of them like they are holding a tray', 'body upright, looks like they are resting on balls of feet, whilst kneeling']"
226,"leg behind them, straight, balancing on one leg,, both arms in front of them, leg they are standing on is straight","['leg behind them, straight', 'balancing on one leg', 'both arms in front of them', 'leg they are standing on is straight']"
227,"legs behind them, one arm raised high in front of them, the other arm towards the floor, head leaning backwards, head is backwards","['legs behind them', 'one arm raised high in front of them', 'the other arm towards the floor', 'head leaning backwards', 'head is backwards']"
228,The figure that looks like a preacher with both arms raised to the sky no legs,['a preacher with both arms raised to the sky no legs']
229,"right leg raised slightly other leg straight body upright and head back, pointing to the left, both arms up sort of, head back","['right leg raised slightly', 'other leg straight', 'body upright', 'head back', 'pointing to the left', 'both arms up', 'head back']"
230,"no feet, looks like sitting down, head straight looking to the right, very thick straight body, with a bit sticking out to the right (bottom)","['no feet', 'looks like sitting down', 'head straight looking to the right', 'very thick straight body', 'with a bit sticking out to the right (bottom)']"
231,"looks like an indian headdress sitting with knees bent, pointing to the right, head down, looks almost like feathers on her head, actually it's the only one with anything on the head","['an indian headdress sitting with knees bent, pointing to the right, head down, looks almost like feathers on her head, actually it's the only one with anything on the head']"
232,"The one with the straight shoulders and widest body looking right, little feet, head is straight","['The one with the straight shoulders and widest body looking right, little feet, head is straight']"
233,Ice skater,['Ice skater']
234,"kneeling nun, with tray","['kneeling nun', 'with tray']"
235,"sitting pointing left, one arm up and back, the other arm down on the floor, no feet, legs out in front of them, no you can't see feet","['sitting pointing left', 'one arm up and back', 'the other arm down on the floor', 'no feet', 'legs out in front of them', 'no you can't see feet']"
236,"arms look like triangles out to each side, big bum, with feet sticking out to the left","['arms look like triangles out to each side', 'big bum', 'with feet sticking out to the left']"
237,"looks like man sitting down looks sad, pointing toes up, knees up and bent","['man sitting down looks sad, pointing toes up, knees up and bent']"
238,"someone sitting on an imaginary chair with a tray, pointing right","['someone sitting on an imaginary chair with a tray, pointing right']"
239,"looks like someone graduating, pointing towards the left","['someone graduating, pointing towards the left']"
240,"looks like someone sitting with triangle behind head, holding tray","['someone sitting with triangle behind head', 'holding tray']"
241,"looks like a square, it has little feet","['a square', 'little feet']"
242,"someone on floor, head back, arms out, one up and one on floor","['someone on floor', 'head back', 'arms out', 'one up and one on floor']"
243,"someone kneeling, looks like they are sitting on feet, no tray, facing right, no arms","['someone kneeling', 'looks like they are sitting on feet', 'facing right', 'no arms']"
244,"looks like someone sitting down on a chair, holding a tray","['someone sitting down on a chair, holding a tray']"
245,"they could be lying down, arms out","['they could be lying down, arms out']"
246,"one leg up, head down, left","['one leg up', 'head down', 'left']"
247,"looks like a preacher, legs back, holding tray","['a preacher', 'legs back', 'holding tray']"
248,one with the hat,['one with the hat']
249,"on one leg, arms behind","['on one leg', 'arms behind']"
250,"sitting on floor, looking sad, head down\","['sitting on floor', 'looking sad', 'head down']"
251,graduating kid,['graduating kid']
252,"imaginary chair, tray in front","['imaginary chair', 'tray in front']"
253,"widest body, arms out to side, shoulder height","['widest body', 'arms out to side', 'shoulder height']"
254,"headdress person, feathers","['headdress person, feathers']"
