,text,gpt_out
170,"Standing, leg pointing left, square on top on right side","['Standing', 'leg pointing left', 'square on top on right side']"
171,"Standing reading a book pointing left, small point of triangle at bottom pointing left","['Standing reading a book pointing left, small point of triangle at bottom pointing left']"
172,"Leaning back, arms outstretched bottom pointing to the right","['Leaning back', 'arms outstretched', 'bottom pointing to the right']"
173,"Large block, square on top, small point at bottom point in got the right","['Large block, square on top, small point at bottom point in got the right']"
174,"Kneeling slightly, larger triangle pointing to the right Small point at the very bottom to the left","['Kneeling slightly', 'larger triangle pointing to the right', 'Small point at the very bottom to the left']"
175,"Kneeling square on top, tiny white line in the place that a tie would be, triangle at the foot of the picture pointing to the left","['Kneeling square on top', 'tiny white line in the place that a tie would be', 'triangle at the foot of the picture pointing to the left']"
176,Flat top with square flat left side points to the right with upper point being further right than bottom point,['Flat top with square flat left side points to the right with upper point being further right than bottom point']
177,Ice skater,['Ice skater']
178,"Lunging on one leg, square on top with outstretched arms","['Lunging on one leg', 'square on top with outstretched arms']"
179,Box with wings falling downhill,['Box with wings falling downhill']
180,"straight right hand side, pointing left with hand","['straight right hand side, pointing left with hand']"
181,bear with flag,['bear with flag']
182,arms outstretched legs out in front,"['arms outstretched', 'legs out in front']"
183,"sitting down, legs out in front","['sitting down', 'legs out in front']"
184,"looks like a ghost =, arms outstretched, should be saying hooooooo","['a ghost', 'arms outstretched', 'should be saying hooooooo']"
185,snowman,['snowman']
186,box on a hill,['box on a hill']
187,ice skater,['ice skater']
188,"kneeling down, holding a tray facing right, tray","['kneeling down', 'holding a tray facing right', 'tray']"
189,one you just picked,There is no description of an image in the given text.
190,one with the tie,['one with the tie']
191,looks like a square sitting on top of a cliff,['a square sitting on top of a cliff']
192,Box on hill,['Box on hill']
193,Legs bent praying pointing right,['Legs bent praying pointing right']
194,Snowman,['Snowman']
195,Ice skater,['Ice skater']
196,Reading a book facing left,['Reading a book facing left']
197,Sitting down facing left,['Sitting down facing left']
198,Ghost going woooooo,['Ghost going woooooo']
199,Tie,['Tie']
200,Kneeling down facing right hands pointing right,['Kneeling down facing right hands pointing right']
201,Lunging right,['Lunging right']
202,Box on cliff,['Box on cliff']
203,Bear,['Bear']
204,ice skater,['ice skater']
205,tie,['tie']
206,lunging right,['lunging right']
207,snowman,['snowman']
208,kneeling right pointing right,['kneeling right pointing right']
209,box on a hill,['box on a hill']
210,"facing right, legs bent, reading a book","['facing right', 'legs bent', 'reading a book']"
211,ghost,['ghost']
212,bear,['bear']
213,"sitting down, legs out in front","['sitting down', 'legs out in front']"
214,cliff,['cliff']
215,"last one, think we've done great been a pleasure, facing left, reading a book","['facing left', 'reading a book']"
216,sitting,['sitting']
217,"open to the right, square on left side","['open to the right', 'square on left side']"
218,"standing, holding something on left","['standing, holding something on left']"
219,"kneeling to the right, diamond head in center","['kneeling to the right', 'diamond head in center']"
220,"kneeling to right, speaker on right, looks like they are talking into something","['kneeling to right', 'speaker on right', 'looks like they are talking into something']"
221,"standing with leg out to the right, leaning to the left","['standing with leg out to the right, leaning to the left']"
222,"standing facing left, looks like carrying an ax, face down","['standing facing left', 'carrying an ax', 'face down']"
223,"looks like the thing is flying leaning backwards to the left, arms out","['the thing is flying leaning backwards to the left, arms out']"
224,looks like a blob,['a blob']
225,"facing right, semi kneeling, almost like praying","['facing right', 'semi kneeling', 'almost like praying']"
226,"Pretty open to the right, like a claw","['Pretty open to the right, like a claw']"
227,almost square on bottom with head in middle,['almost square on bottom with head in middle']
228,praying to the left,['praying to the left']
229,standing with ax,['standing with ax']
230,doing a lunge to the right,['doing a lunge to the right']
231,sitting down,['sitting down']
232,sitting down with legs out,['sitting down with legs out']
233,blob,['blob']
234,praying to the right,['praying to the right']
235,balancing on one leg to the left,['balancing on one leg to the left']
236,mostly square bottom diamond head,['mostly square bottom diamond head']
237,"arms wide, leaning to left, flying","['arms wide', 'leaning to left', 'flying']"
238,"praying to the right with triangle corner at back, triangle corner is facing up","['praying to the right with triangle corner at back, triangle corner is facing up']"
239,two triangles on head,['two triangles on head']
240,standing facing left with holding bowl,"['standing facing left', 'holding bowl']"
241,ax,['ax']
242,balancing one leg,['balancing one leg']
243,diamond head on rectangle,['diamond head on rectangle']
244,lunging,['lunging']
245,two triangles on head,['two triangles on head']
246,facing right semi kneeling,"['facing right', 'semi kneeling']"
247,sitting with legs out,['sitting with legs out']
248,arms open wide leaning to the left,['arms open wide leaning to the left']
249,blob,['blob']
250,kneeling to right speaking into triangle,['kneeling to right speaking into triangle']
251,kneeling to right with triangle corner on back,['kneeling to right with triangle corner on back']
252,ax,['ax']
253,arms wide,['arms wide']
254,"praying to right, no corner sticking up","['praying to right, no corner sticking up']"
255,"praying to left, standing up with bowl, to left","['praying to left', 'standing up with bowl', 'to left']"
256,talking into triangle,['talking into triangle']
257,sitting legs out,['sitting legs out']
258,lunge,There is no description of an image in the given text.
259,two triangles on head,['two triangles on head']
260,kneeling to right with triangle corner sticking up,['kneeling to right with triangle corner sticking up']
261,balancing,There is not enough information provided in the text to extract a description of the image. Please provide more context or additional text for me to work with.
262,rectangle body,['rectangle body']
263,blob,['blob']
264,lunge,There is not enough information provided in the text to extract a description of the image. Could you please provide more context or additional details?
265,blob,['blob']
266,body with rectangle,['body with rectangle']
267,balancing,There is not enough information provided in the text to extract a description of the image. Please provide more context or additional text for me to work with.
268,speaking into triangle,['speaking into triangle']
269,"two heads, two triangles on top as head","['two heads', 'two triangles on top as head']"
270,legs out,['legs out']
271,ax,['ax']
272,semi kneeling with bowl to the right,['semi kneeling with bowl to the right']
273,kneeling with bowl to the right with triangle corner in back,['kneeling with bowl to the right with triangle corner in back']
274,arms wide,['arms wide']
275,standing to left with bowl,['standing to left with bowl']
276,ax,['ax']
277,rectangle body,['rectangle body']
278,talking into triangle,['talking into triangle']
279,kneeling to left with bowl,['kneeling to left with bowl']
280,balancing,There is not enough information provided in the text to extract a description of the image. Please provide more context or additional text for me to work with.
281,kneeling to right corner of triangle sticking up,['kneeling to right corner of triangle sticking up']
282,arms wide,['arms wide']
283,two triangles on head,['two triangles on head']
284,blob,['blob']
285,lunge,There is not enough information provided in the text to extract a description of the image. Could you please provide more context or additional details?
286,kneeling to right,['kneeling to right']
287,legs out,['legs out']
288,looks a bit like a triangle mountain,['a triangle mountain']
289,"looks like someone praying standing up, standing","['someone praying standing up, standing']"
290,arms open wide,['arms open wide']
291,sitting down with legs out,['sitting down with legs out']
292,"triangle head on a lump, bit like a square with the right hand bit taken out, solid lump of black biggest on the screen, solid","['triangle head on a lump', 'bit like a square with the right hand bit taken out', 'solid lump of black biggest on the screen', 'solid']"
293,looks like someone nearly kneeling with triangle hand pointing to the right#,['someone nearly kneeling with triangle hand pointing to the right']
294,kneeling,['kneeling']
295,on one leg,['on one leg']
296,really hard on square head looks like it leaning back to the left,['square head looks like it leaning back to the left']
297,two shapes body looks like a fat poo,"['two shapes', 'body looks like a fat poo']"
298,"four shapes square and triangle like the triangle is underneath, triangle for a tail, the most obscure one, that looks like no one","['four shapes square and triangle', 'like the triangle is underneath', 'triangle for a tail', 'the most obscure one', 'that looks like no one']"
299,one leg holding a flag on its shoulder,['one leg holding a flag on its shoulder']
300,arms wide open,['arms wide open']
301,"knee, pray","['knee', 'pray']"
302,pray while standing,['pray while standing']
303,"2 triangles as a hand, while kneeing","['2 triangles as a hand, while kneeing']"
304,"sunbathing, the only one with a hat, there are 2 triangles, on ""her"" head","['sunbathing', 'the only one with a hat', 'there are 2 triangles', 'on ""her"" head']"
305,1 leg NOT the one with the beak,['1 leg NOT the one with the beak']
306,"looks like a dance move, trapeze leg","['a dance move', 'trapeze leg']"
307,look like a poo,['look like a poo']
308,"birdman, 1 leg","['birdman', '1 leg']"
309,"praying while half-standing, almost kneeing","['praying while half-standing, almost kneeing']"
310,look like a romanian emperor,['a romanian emperor']
311,"sitting watching the stars, only 1 sits","['sitting watching the stars', 'only 1 sits']"
312,the big crooked lump with a triangle on its head,['the big crooked lump with a triangle on its head']
313,"pary half kneeling, pray","['pary half kneeling, pray']"
314,the weird one head tilted back with two triangle hands,['the weird one head tilted back with two triangle hands']
315,arms wide open,['arms wide open']
316,poo,There is no description of the image in the given text.
317,hard one square head with two triangles on top one bigger than the other,"['square head', 'two triangles on top', 'one bigger than the other']"
318,"sat down stairs, stars","['sat down stairs, stars']"
319,one leg no flag,['one leg no flag']
320,"square and triangle look like they are falling off the main body then a triangle tail, body, four pieces in total","['square and triangle look like they are falling off the main body', 'triangle tail', 'body', 'four pieces in total']"
321,pray to the left,['pray to the left']
322,flag one leg,['flag one leg']
323,pray to the right kneel,['pray to the right kneel']
324,half stand pray,['half stand pray']
325,"arms wide open, we will do it now",['arms wide open']
326,"kneeing, pray to the right","['kneeing, pray to the right']"
327,pray to the left,['pray to the left']
328,"looks like a dance move but not the one you chose but the other, kinda like ballet, head tilted back","['looks like a dance move', 'kinda like ballet', 'head tilted back']"
329,"1 square head, no arm only a little arm which is a triangle","['1 square head', 'no arm', 'only a little arm which is a triangle']"
330,"the ballet, which you choose, before",There is no description of the image in the given text.
331,"birdman, flag","['birdman', 'flag']"
332,"2 triangle arms, while kneeing, which you choose 2 round before","['2 triangle arms', 'while kneeing', 'which you choose 2 round before']"
333,poo,There is no description of the image in the given text.
334,"sitting, looking the stars","['sitting, looking the stars']"
335,"sunbath, 2 triangles, on the head, looking like a kind of a hat","['2 triangles', 'on the head', 'looking like a kind of a hat']"
336,sunbath,['sunbath']
337,flag,['flag']
338,"two shapes we always get wrong, triangle on the top","['two shapes we always get wrong, triangle on the top']"
339,arm open,['arm open']
340,pray to the left,['pray to the left']
341,triangle arms,['triangle arms']
342,poo,There is no description of the image in the given text.
343,stars,['stars']
344,"four pieces the one with a tail and one square and one triangle, hard one not picked lots, weird shape, tight together","['four pieces', 'one with a tail', 'one square', 'one triangle', 'hard one not picked lots', 'weird shape', 'tight together']"
345,pray semi kneel,['pray semi kneel']
346,ballet,['ballet']
347,pray to the right,['pray to the right']
348,arms wide open,['arms wide open']
349,flag,['flag']
350,"sitting, stars","['sitting', 'stars']"
351,pray to the right,['pray to the right']
352,sunbath,['sunbath']
353,semi kneel,['semi kneel']
354,"poo, big poo",['big poo']
355,"it looks like a ballet move, square head tilted back to the left, and ""she""has an arm which looks like an axe, 1 very big leg, and 1 small bag, leg*","['a ballet move', 'square head tilted back to the left', '""she"" has an arm which looks like an axe', '1 very big leg', '1 small bag', 'leg*']"
356,"nice one, pray to the left","['nice one, pray to the left']"
357,"barely picked, 1 square head","['barely picked', '1 square head']"
358,1 leg no flag,['1 leg no flag']
359,barely picked,There is no description of the image in the given text.
360,It looks like a person is holding a plate and it has a rhombus shaped head,"['a person is holding a plate', 'it has a rhombus shaped head']"
361,It looks like a person dancing with his head bent back and like he' she has a long piece of clothing on his her back,"['a person dancing with his head bent back', 'he she has a long piece of clothing on his her back']"
362,This person looks like he is almost squatting while holding a plate of food in his hand,"['he is almost squatting', 'holding a plate of food in his hand']"
363,This particular guy gal looks like he she is partying while having both of his hands open while his her hands are open wide and he she is slightly bent,"['partying', 'both of his hands open', 'hands are open wide', 'slightly bent']"
364,This person is standing while holding his her clothing to the left side while stretching his her right hand in this illustration,['This person is standing while holding his her clothing to the left side while stretching his her right hand in this illustration']
365,This person has one feet on the air backwards and is standing in the other feet He she also has two triangles in his her front body,"['one feet on the air backwards', 'standing in the other feet', 'two triangles in his her front body']"
