...1,text,gpt_out,out
31,"Hexagon body with a square head and tiny triangle attached to the bottom right, The hexagon is the majority of the shape","Hexagon body with a square head and tiny triangle attached to the bottom right, The hexagon is the majority of the shape","Hexagon body with a square head and tiny triangle attached to the bottom right, The hexagon is the majority of the shape"
32,Big square body with what looks like a tiny arm pointing right and a diamond head,"Big square body, tiny arm pointing right, diamond head","Big square [-body with what looks like a-] {+body,+} tiny arm pointing [-right and a-] {+right,+} diamond head"
33,Looks like a person facing left holding a bowl,a person facing left holding a bowl,[-Looks like-]a person facing left holding a bowl
34,Two diamonds attached to each other at the top and then two triangles sticking out of the body (one pointing right and one on the left pointing upwards),"Two diamonds attached to each other at the top, two triangles sticking out of the body (one pointing right and one on the left pointing upwards)","Two diamonds attached to each other at the [-top and then-] {+top,+} two triangles sticking out of the body (one pointing right and one on the left pointing upwards)"
35,Looks like a bigger guy sitting down facing the left with his knees slightly lifted,a bigger guy sitting down facing the left with his knees slightly lifted,[-Looks like-]a bigger guy sitting down facing the left with his knees slightly lifted
36,the person sitting facing left with knees raised,the person sitting facing left with knees raised,the person sitting facing left with knees raised
37,"a diamond and two triangles attached to a weird shape, the diamond on the top right, one triangle on top right and another triangle bottom right","a diamond, two triangles attached to a weird shape, the diamond on the top right, one triangle on top right, another triangle bottom right","a [-diamond and-] {+diamond,+} two triangles attached to a weird shape, the diamond on the top right, one triangle on top [-right and-] {+right,+} another triangle bottom right"
38,person partially kneeling to the right arms out to the right,person partially kneeling to the right arms out to the right,person partially kneeling to the right arms out to the right
39,"rabbit like ears, large triangle body","rabbit like ears, large triangle body","rabbit like ears, large triangle body"
40,square shape with diamond on top,square shape with diamond on top,square shape with diamond on top
41,"looks like a person kicking out a leg behind them to the right, two triangle hands to the left","a person kicking out a leg behind them to the right, two triangle hands to the left","[-looks like-]a person kicking out a leg behind them to the right, two triangle hands to the left"
42,person stood facing left holding out bowl arms,"person stood facing left, holding out bowl arms","person stood facing [-left-] {+left,+} holding out bowl arms"
43,person kicking one leg out to the left,person kicking one leg out to the left,person kicking one leg out to the left
44,"three shapes, diamond top middle with a triangle coming off, then the large shape attached, all joining one point, triangle is on the right","diamond top middle with a triangle coming off, large shape attached, joining one point, triangle is on the right","[-three shapes,-]diamond top middle with a triangle coming off, [-then the-] large shape attached, [-all-] joining one point, triangle is on the right"
45,"person kneeling to the right holding out hands, with a tail","person kneeling to the right holding out hands, with a tail","person kneeling to the right holding out hands, with a tail"
46,person leaning to the left with arms up,person leaning to the left with arms up,person leaning to the left with arms up
47,"diamond at the top, hexagon body and a small point to the right at the bottom","diamond at the top, hexagon body, small point to the right at the bottom","diamond at the top, hexagon [-body and a-] {+body,+} small point to the right at the bottom"
48,"kneeling sitting pointing to right, diamond head, triangular arm, not the weird sitting one","kneeling sitting pointing to right, diamond head, triangular arm, not the weird sitting one","kneeling sitting pointing to right, diamond head, triangular arm, not the weird sitting one"
49,leg kicking to the left,leg kicking to the left,leg kicking to the left
50,"three shapes, joined by a singular point each, diamond on top, triangle on the right","three shapes, joined by a singular point each, diamond on top, triangle on the right","three shapes, joined by a singular point each, diamond on top, triangle on the right"
51,"holding bowl, facing left","holding bowl, facing left","holding bowl, facing left"
52,"cube body, diamond on top, attached to cube flat surface by its point","cube body, diamond on top, attached to cube flat surface by its point","cube body, diamond on top, attached to cube flat surface by its point"
53,"like the other sitting one but weird shaped, this one instead has a triangular shape in the bottom left","weird shaped, triangular shape in the bottom left","[-like the other sitting one but-]weird shaped, [-this one instead has a-] triangular shape in the bottom left"
54,"leg up and pointing right, body composed of two triangles, one 'leg' on floor","leg up and pointing right, body composed of two triangles, ""one leg on floor""","leg up and pointing right, body composed of two triangles, [-one 'leg'-] {+""one leg+} on [-floor-] {+floor""+}"
55,"cube on top left, two triangles on right, one top and one bottom","cube on top left, two triangles on right, one top and one bottom","cube on top left, two triangles on right, one top and one bottom"
56,"hexagon body, triangle bottom right pointing right, diamond head, six sided body, triangle looks kinda like feet","hexagon body, triangle bottom right pointing right, diamond head, six sided body, triangle  feet","hexagon body, triangle bottom right pointing right, diamond head, six sided body, triangle looks kinda like feet"
57,"arms in air, facing left, or leaning left","arms in air, facing left, leaning left","arms in air, facing left, [-or-] leaning left"
58,"sitting, facing right, i meant facing left","sitting, facing right, facing left","sitting, facing right, [-i meant-] facing left"
59,bunny,bunny,bunny
60,non human shape square on top left triangle on top right and bottom right,"non human shape square on top left, triangle on top right and bottom right","non human shape square on top [-left-] {+left,+} triangle on top right and bottom right"
61,person kneeling partially to right no tail,person kneeling partially to right no tail,person kneeling partially to right no tail
62,"top of image is diamond balanced on a flat surface, large cube","top  is diamond balanced on a flat surface, large cube","top of image is diamond balanced on a flat surface, large cube"
63,person standing holding bowl facing left,person standing holding bowl facing left,person standing holding bowl facing left
64,person kneeling to right this time with a tail,person kneeling to right this time with a tail,person kneeling to right this time with a tail
65,"non human with square and two triangles connected at single point, small triangle pointing up in bottom left","non human with square and two triangles connected at single point, small triangle pointing up in bottom left","non human with square and two triangles connected at single point, small triangle pointing up in bottom left"
66,"person with leg kicked behind them to the right, triangle hands facing left","person with leg kicked behind them to the right, triangle hands facing left","person with leg kicked behind them to the right, triangle hands facing left"
67,looks like a rabbit, a rabbit,looks like a rabbit
68,"six sided shape is most of body, diamond on top triangle facing right on bottom right","six sided shape is most of body, diamond on top, triangle facing right on bottom right","six sided shape is most of body, diamond on [-top-] {+top,+} triangle facing right on bottom right"
69,person kicking leg forward to the left,person kicking leg forward to the left,person kicking leg forward to the left
70,person sitting on ground facing left,person sitting on ground facing left,person sitting on ground facing left
71,leaning left arms up,leaning left arms up,leaning left arms up
72,"ok so it's kind of like a dog lying down, it's a long shape on the bottom of the square with a triangle just in front and 2 shapes on top","a dog lying down, a long shape on the bottom of the square, a triangle just in front, 2 shapes on top","[-ok so it's kind of like-]a dog lying down, [-it's-] a long shape on the bottom of the [-square with-] {+square,+} a triangle just in [-front and-] {+front,+} 2 shapes on top"
73,"ok so it's like a guy sort of crouching with his hands folded, right, like 2 rhombuses on the bottom with a square on that a triangle to the right and a diamond on top, but the triangle isnt small","a guy sort of crouching with his hands folded, 2 rhombuses on the bottom, a square on that, a triangle to the right, a diamond on top, the triangle isn't small","[-ok so it's like-]a guy sort of crouching with his hands folded, [-right, like-] 2 rhombuses on the [-bottom with-] {+bottom,+} a square on [-that-] {+that,+} a triangle to the [-right and-] {+right,+} a diamond on top, [-but-] the triangle isnt small"
74,"it's like an angel flying, it's like a rhombus with diamond in the top corners and a diamond for the head, so it looks like a guy with wings, no like it's leaning left, above","an angel flying, a rhombus with diamond in the top corners and a diamond for the head, a guy with wings, leaning left, above","[-it's like-]an angel flying, [-it's like-] a rhombus with diamond in the top corners and a diamond for the head, [-so it looks like-] a guy with wings, [-no like it's-] leaning left, above"
75,"ok it's like a guy looking left carrying a box, in his arms","a guy looking left carrying a box, in his arms","[-ok it's like-]a guy looking left carrying a box, in his arms"
76,"ok so it's like a guy with a thick back looking right with one arm out to the right, like there is a box and a little triangle to the right underneath and a little triangle on the top right and a diamond on top of that, his left side comes out a bit, like past the diamond","a guy with a thick back looking right with one arm out to the right, there is a box, a little triangle to the right underneath, a little triangle on the top right, a diamond on top of that, his left side comes out a bit, like past the diamond","[-ok so it's like-]a guy with a thick back looking right with one arm out to the right, [-like-] there is a [-box and-] {+box,+} a little triangle to the right [-underneath and-] {+underneath,+} a little triangle on the top [-right and-] {+right,+} a diamond on top of that, his left side comes out a bit, like past the diamond"
77,"ok it's like a guy facing left with his head to the right over his back and a leg out to the left, his arms are level with his head, his head comes past the right side of his body by a bit, it's the only one with a leg out to the left","a guy facing left with his head to the right over his back, a leg out to the left, his arms are level with his head, his head comes past the right side of his body by a bit, the only one with a leg out to the left","[-ok it's like-]a guy facing left with his head to the right over his [-back and-] {+back,+} a leg out to the left, his arms are level with his head, his head comes past the right side of his body by a bit, [-it's-] the only one with a leg out to the left"
78,"ok so its a guy sitting with his arms out, the two triangles go out either side just below the head, the triangle on the right comes away from the ""body"" a bit, he has one foot out to the left","a guy sitting with his arms out, the two triangles go out either side just below the head, the triangle on the right comes away from the ""body"" a bit, he has one foot out to the left","[-ok so its-]a guy sitting with his arms out, the two triangles go out either side just below the head, the triangle on the right comes away from the ""body"" a bit, he has one foot out to the left"
79,it's a guy sitting with his knees up facing left,a guy sitting with his knees up facing left,[-it's-]a guy sitting with his knees up facing left
80,"its a diamond on a diamond with a triangle out to the right, there is a right angled triangle to the left, like a duck looking right with a diamond on top","a diamond on a diamond with a triangle out to the right, a right angled triangle to the left, like a duck looking right with a diamond on top","[-its-]a diamond on a diamond with a triangle out to the right, [-there is-] a right angled triangle to the left, like a duck looking right with a diamond on top"
81,"on its like a rabbit looking right, his head is kind of square, and the body is two triangles, its lying down, 2 triangles, square on that looking right 2 triangle ears on top","a rabbit looking right, his head is kind of square, the body is two triangles, its lying down, 2 triangles, square on that looking right, 2 triangle ears on top","[-on its like-]a rabbit looking right, his head is kind of square, [-and-] the body is two triangles, its lying down, 2 triangles, square on that looking [-right-] {+right,+} 2 triangle ears on top"
82,"it's like a guy sitting cross legged looking right, there is a triangle to the right then a straight box with a diamond on top, without arms, with a triangle point off it to the right","a guy sitting cross legged looking right, a triangle to the right, a straight box with a diamond on top, without arms, a triangle point off it to the right","[-it's like-]a guy sitting cross legged looking right, [-there is-] a triangle to the [-right then-] {+right,+} a straight box with a diamond on top, without arms, [-with-] a triangle point off it to the right"
83,"it's a guy looking left with his foot behind him, like kicking up behind him","a guy looking left with his foot behind him, like kicking up behind him","[-it's-]a guy looking left with his foot behind him, like kicking up behind him"
84,bunny with two triangles for for ears facing the right,bunny with two triangles for for ears facing the right,bunny with two triangles for for ears facing the right
85,"person kneeling like she is praying facing to the right, a small triangle","person kneeling like she is praying facing to the right, a small triangle","person kneeling like she is praying facing to the right, a small triangle"
86,"Person is crouching with his arms out, he is facing to the right, Triangle head","Person is crouching with his arms out, he is facing to the right, Triangle head","Person is crouching with his arms out, he is facing to the right, Triangle head"
87,"the persons legs are facing the left but his head which is shaped almost like the box is facing to the right, it is like he is walking to the left","the persons legs are facing the left, his head which is shaped almost like the box is facing to the right,  walking to the left","the persons legs are facing the [-left but-] {+left,+} his head which is shaped almost like the box is facing to the right, it is like he is walking to the left"
88,"The person is facing left and his holding like an open box, looks like a priest","The person is facing left, holding like an open box, a priest","The person is facing [-left and his-] {+left,+} holding like an open box, looks like a priest"
89,"The person looks like he is falling backwards, he is tilted to the left, his arms are above his head","he is falling backwards, he is tilted to the left, his arms are above his head","The person looks like he is falling backwards, he is tilted to the left, his arms are above his head"
90,"This person has one leg standing and the other lifted behind him, he is facing left","This person has one leg standing and the other lifted behind him, he is facing left","This person has one leg standing and the other lifted behind him, he is facing left"
91,"This person has a diamond head , he has a long body going straight , there is a long triangle at the top which are arms and a short one at the bottom which are feet, the person is standing complety straight, his arms are facing right, and his feet","a diamond head, a long body going straight, a long triangle at the top which are arms, a short one at the bottom which are feet, the person is standing completely straight, his arms are facing right, his feet","[-This person has-]a diamond [-head , he has-] {+head,+} a long body going [-straight , there is-] {+straight,+} a long triangle at the top which are [-arms and-] {+arms,+} a short one at the bottom which are feet, the person is standing [-complety-] {+completely+} straight, his arms are facing right, [-and-] his feet"
92,"This looks like a lady facing left, her triangle arms face left, she has a triangle behind her neck, she is facing left!, she is kneeling","a lady facing left, her triangle arms face left, she has a triangle behind her neck, she is facing left, she is kneeling","[-This looks like-]a lady facing left, her triangle arms face left, she has a triangle behind her neck, she is facing [-left!,-] {+left,+} she is kneeling"
93,"This looks like a person falling forward towards the right, the persons arms are out, it looks like they are on their knees, no not above, it's spread out like she's hugging someone but falling forward, the head is more square than diamond, two triangles for arms","a person falling forward towards the right, the persons arms are out, they are on their knees, spread out like she's hugging someone but falling forward, the head is more square than diamond, two triangles for arms","[-This looks like-]a person falling forward towards the right, the persons arms are out, [-it looks like-] they are on their knees, [-no not above, it's-] spread out like she's hugging someone but falling forward, the head is more square than diamond, two triangles for arms"
94,"This looks like a man is sitting and facing to the right, he has a diamond head, triangle collarbone area, square body, yes no arms","a man is sitting and facing to the right, he has a diamond head, triangle collarbone area, square body, no arms","[-This looks like-]a man is sitting and facing to the right, he has a diamond head, triangle collarbone area, square body, [-yes-] no arms"
95,"This man is facing left sitting on the ground which his left leg bending, he is sitting facing left, no arms yes",This man is facing left sitting on the ground which his left leg bending,"This man is facing left sitting on the ground which his left leg [-bending, he is sitting facing left, no arms yes-] {+bending+}"
96,man facing left with arms out to left and one leg up behind him,man facing left with arms out to left and one leg up behind him,man facing left with arms out to left and one leg up behind him
97,man sat on floor facing right with bunny rabbit ears on,man sat on floor facing right with bunny rabbit ears on,man sat on floor facing right with bunny rabbit ears on
98,man crouching facing right with arms out in front of him,man crouching facing right with arms out in front of him,man crouching facing right with arms out in front of him
99,"looks like a priest facing right or someone holding an open box facing left, NA, NA","a priest facing right, someone holding an open box facing left","[-looks like-]a priest facing [-right or-] {+right,+} someone holding an open box facing [-left, NA, NA-] {+left+}"
100,"looks like a woman with her arms out falling forward towards the right, to the side, trapezium on bottom square head, two triangles to the right, triangle to left behind neck","a woman with her arms out falling forward towards the right, trapezium on bottom, square head, two triangles to the right, triangle to left behind neck","[-looks like-]a woman with her arms out falling forward towards the right, [-to the side,-] trapezium on [-bottom-] {+bottom,+} square head, two triangles to the right, triangle to left behind neck"
101,"looks like a man walking to the left with a square backpack on and triangle on his face l, one leg on floor to the left one leg left is slightly raised","a man walking to the left with a square backpack on, triangle on his face, one leg on floor to the left, one leg left is slightly raised","[-looks like-]a man walking to the left with a square backpack [-on and-] {+on,+} triangle on his [-face l,-] {+face,+} one leg on floor to the [-left-] {+left,+} one leg left is slightly raised"
102,"looks like someone falling with arms above head, falling backwards to the left","someone falling with arms above head, falling backwards to the left","[-looks like-]someone falling with arms above head, falling backwards to the left"
103,"looks like a woman in a dress with her left foot out, both arms are raised to each side, head tilted to the right and down slightly, right arm is away from her body slightly","a woman in a dress with her left foot out, both arms are raised to each side, head tilted to the right and down slightly, right arm is away from her body slightly","[-looks like-]a woman in a dress with her left foot out, both arms are raised to each side, head tilted to the right and down slightly, right arm is away from her body slightly"
104,"man kneeling facing right no arms, NA",man kneeling facing right no arms,"man kneeling facing right no [-arms, NA-] {+arms+}"
105,"man stood facing right with arms out in front of him, NA, NA, or one arm to the right with a long thick back, triangle on bottom facing right","man stood facing right with arms out in front of him, one arm to the right with a long thick back, triangle on bottom facing right","man stood facing right with arms out in front of him, [-NA, NA, or-] one arm to the right with a long thick back, triangle on bottom facing right"
106,"man knelt down facing up with his arms out in front of him, to the right, yes but not straight back",man knelt down facing up with his arms out in front of him,"man knelt down facing up with his arms out in front of [-him, to the right, yes but not straight back-] {+him+}"
107,"man facing left sat on the ground with his knees bent, NA",man facing left sat on the ground with his knees bent,"man facing left sat on the ground with his knees [-bent, NA-] {+bent+}"
108,no arms looks like an 'i',no arms looks like an i,no arms looks like an [-'i'-] {+i+}
109,left side is completely straight down,left side is completely straight down,left side is completely straight down
110,leg lifted behind him to the right,leg lifted behind him to the right,leg lifted behind him to the right
111,bunny ears,bunny ears,bunny ears
112,falling back to the left,falling back to the left,falling back to the left
113,"crouching to the right, triangle arm out praying, knees bent","crouching to the right, triangle arm out praying, knees bent","crouching to the right, triangle arm out praying, knees bent"
114,"similar to last one, facing right praying, but with knees on the floor","facing right praying, but with knees on the floor","[-similar to last one,-]facing right praying, but with knees on the floor"
115,sat facing left with one knee up,sat facing left with one knee up,sat facing left with one knee up
116,"leg lifted to the left, thriller dance","leg lifted to the left, thriller dance","leg lifted to the left, thriller dance"
117,priest facing left carrying a box,priest facing left carrying a box,priest facing left carrying a box
118,"one of the tricky ones, someone kneeling to the left with triangle arms out wide - right arm detached from body, kneeling to the RIGHT i mean, could also be a dog facing left with a square and triangle for ears","one of the tricky ones, someone kneeling to the right with triangle arms out wide - right arm detached from body ,  a dog facing left with a square and triangle for ears","[-one of the tricky ones,-]someone kneeling to the left with triangle arms out wide - right arm detached from body, kneeling to the RIGHT i mean, could also be a dog facing left with a square and triangle for ears"
119,"the other tricky one, like someone stretching out to the right, head tilted back to the left thick long leg out to the left","tricky one, someone stretching out to the right, head tilted back to the left, thick long leg out to the left","[-the other tricky one, like-]someone stretching out to the right, head tilted back to the [-left-] {+left,+} thick long leg out to the left"
120,straight back 2 triangles to the right,straight back 2 triangles to the right,straight back 2 triangles to the right
121,thriller,thriller,thriller
122,"the guy kicking right, facing left","the guy kicking right, facing left","the guy kicking right, facing left"
123,the woman falling right,the woman falling right,the woman falling right
124,box priest,box priest,box priest
125,the woman laying to the left with her arms behind her and a triangle under her butt,the woman laying to the left with her arms behind her and a triangle under her butt,the woman laying to the left with her arms behind her and a triangle under her butt
126,"crouching guy, facing right, knees bent","crouching guy, facing right, knees bent","crouching guy, facing right, knees bent"
127,falling left,falling left,falling left
128,"no arms crouching facing right, like an ""i""","no arms crouching facing right, like an ""i""","no arms crouching facing right, like an ""i"""
129,"the duck with a diamond hat, facing right, its a diamond on a diamond","the duck with a diamond hat, facing right, its a diamond on a diamond","the duck with a diamond hat, facing right, its a diamond on a diamond"
130,the guy sitting with a knee up,the guy sitting with a knee up,the guy sitting with a knee up
131,bunny ears,bunny ears,bunny ears
132,Guy with 1 leg down and one leg facing right,Guy with 1 leg down and one leg facing right,Guy with 1 leg down and one leg facing right
133,"tricky one , woman falling to the right","tricky one, woman falling to the right","[-tricky one ,-]woman falling to the right"
134,bunny ears,bunny ears,bunny ears
135,"crouching guy, facing right, he is crouching, knees bent","crouching guy, facing right, he is crouching, knees bent","crouching guy, facing right, he is crouching, knees bent"
136,priest with box,priest with box,priest with box
137,duck,duck,duck
138,guy falling to the left,guy falling to the left,guy falling to the left
139,"woman with triangle in front of her dress, she is facing left","woman with triangle in front of her dress, she is facing left","woman with triangle in front of her dress, she is facing left"
140,thriller,thriller,thriller
141,"guy on ground , one knee bent","guy on ground, one knee bent","guy on [-ground ,-] {+ground,+} one knee bent"
142,"straight body guy, to the left, hto the right, long arm triangles, and short triangle feet","straight body guy, to the left, to the right, long arm triangles, short triangle feet","straight body guy, to the left, [-hto-] {+to+} the right, long arm triangles, [-and-] short triangle feet"
143,"it's almost the last one, guy sitting facing right, no arms, guy sitting facing right no arms","guy sitting facing right, no arms","[-it's almost the last one,-]guy sitting facing right, [-no arms, guy sitting facing right-] no arms"
144,"Gymnast on one knee, arms straight out, head slightly tilted down","Gymnast on one knee, arms straight out, head slightly tilted down","Gymnast on one knee, arms straight out, head slightly tilted down"
145,"Frankenstein's monster, walking toward the left, arms up, head back, one leg raised, foot at 45 degrees","Frankenstein's monster, walking toward the left, arms up, head back, one leg raised, foot at 45 degrees","[-Frankenstein's-]{+Frankenstein\s+} monster, walking toward the left, arms up, head back, one leg raised, foot at 45 degrees"
146,"person leaning against a wall or tree facing to the right, knees slightly bent and body shaped like two triangle, head slightly tilted down and wearing bunny ears","person leaning against a wall or tree facing to the right, knees slightly bent, body shaped like two triangles, head slightly tilted down, wearing bunny ears","person leaning against a wall or tree facing to the right, knees slightly [-bent and-] {+bent,+} body shaped like two [-triangle,-] {+triangles,+} head slightly tilted [-down and-] {+down,+} wearing bunny ears"
147,"Figure skater on leg, arms in front for balance, one leg straight back","Figure skater on leg, arms in front for balance, one leg straight back","Figure skater on leg, arms in front for balance, one leg straight back"
148,"athlete raising arms in victory after a goal, or someone praying with arms facing up to the heavens","athlete raising arms in victory after a goal, someone praying with arms facing up to the heavens","athlete raising arms in victory after a goal, [-or-] someone praying with arms facing up to the heavens"
149,oval shaped rock with small protuberance on the bottom of one side and small square block on top,oval shaped rock with small protuberance on the bottom of one side and small square block on top,oval shaped rock with small protuberance on the bottom of one side and small square block on top
150,"backless high heel with square strap on front, toe side left","backless high heel with square strap on front, toe side left","backless high heel with square strap on front, toe side left"
